date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:01	409/409	---MCZ	200	added ('OK')	text/plain	etag:W/%225f9afaf3-5cf%22	http://www.prateeknarang.com/robots.txt		(from )
12:53:02	3408/3408	---MCZ	200	added ('OK')	text/html	etag:W/%225f9afaf3-d50%22	http://www.prateeknarang.com/	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/index.html	(from )
12:53:03	2193/2193	---MCZ	200	added ('OK')	text/html	etag:W/%225f9afafa-891%22	http://www.prateeknarang.com/resume/	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/resume/index.html	(from http://www.prateeknarang.com/)
12:53:04	8866/8866	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f9afafa-22a2%22	http://www.prateeknarang.com/style.css	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/style.1.delayed	(from http://www.prateeknarang.com/)
12:53:07	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/pc/Desktop/ResumeInteractive/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://www.prateeknarang.com/)
12:53:07	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d06781ea492122415c216c4232721298%22	http://connect.facebook.net/en_US/sdk.js	C:/Users/pc/Desktop/ResumeInteractive/connect.facebook.net/en_US/sdk.js	(from http://www.prateeknarang.com/)
12:53:10	37339/37339	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f9afaf3-91db%22	http://www.prateeknarang.com/js/GameState.js	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/js/GameState.js	(from http://www.prateeknarang.com/)
12:53:12	6723/6723	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f9afaf3-1a43%22	http://www.prateeknarang.com/js/PreloadState.js	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/js/PreloadState.js	(from http://www.prateeknarang.com/)
12:53:12	131986/131986	---M--	200	added ('OK')	image/png	etag:%225f9afaf3-20392%22	http://www.prateeknarang.com/screen.png	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/screen.png	(from http://www.prateeknarang.com/)
12:53:13	679/679	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f9afaf3-2a7%22	http://www.prateeknarang.com/js/Bootstate.js	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/js/Bootstate.js	(from http://www.prateeknarang.com/)
12:53:13	49153/49153	---MC-	200	added ('OK')	text/javascript	date:Fri,%2009%20Apr%202021%2023:59:54%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/pc/Desktop/ResumeInteractive/www.google-analytics.com/analytics.js	(from http://www.prateeknarang.com/)
12:53:13	260/260	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f9afaf3-104%22	http://www.prateeknarang.com/Main.js	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/Main.js	(from http://www.prateeknarang.com/)
12:53:15	443/443	---MCZ	200	added ('OK')	text/css	etag:W/%225f9afaf3-1bb%22	http://www.prateeknarang.com/resume/style.css	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/resume/style.css	(from http://www.prateeknarang.com/resume/)
12:53:17	31597/31597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f9afaf3-7b6d%22	http://www.prateeknarang.com/resume/myresume.js	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/resume/myresume.js	(from http://www.prateeknarang.com/resume/)
12:53:21	743537/743537	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f9afaf3-b5871%22	http://www.prateeknarang.com/phaser.min.js	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/phaser.min.js	(from http://www.prateeknarang.com/)
12:53:41	3020430/3020430	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f9afaf3-2e168e%22	http://www.prateeknarang.com/resume/script.js	C:/Users/pc/Desktop/ResumeInteractive/www.prateeknarang.com/resume/script.js	(from http://www.prateeknarang.com/resume/)
